ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
US1CAHM0005,20081001,PRCP,0,,,N,0700
US1CAHM0005,20081002,PRCP,0,T,,N,0700
US1CAHM0005,20081003,PRCP,94,,,N,0700
US1CAHM0005,20081004,PRCP,229,,,N,0700
US1CAHM0005,20081005,PRCP,23,,,N,0700
US1CAHM0005,20081006,PRCP,0,T,,N,0700
US1CAHM0005,20081007,PRCP,5,,,N,0700
US1CAHM0005,20081008,PRCP,0,,,N,0700
US1CAHM0005,20081009,PRCP,0,,,N,0700
US1CAHM0005,20081010,PRCP,0,,,N,0700
US1CAHM0005,20081011,PRCP,0,,,N,0700
US1CAHM0005,20081012,PRCP,0,,,N,0700
US1CAHM0005,20081013,PRCP,0,,,N,0700
US1CAHM0005,20081014,PRCP,0,,,N,0700
US1CAHM0005,20081015,PRCP,0,,,N,0700
US1CAHM0005,20081016,PRCP,0,,,N,0700
US1CAHM0005,20081017,PRCP,0,,,N,0700
US1CAHM0005,20081018,PRCP,0,,,N,0700
US1CAHM0005,20081019,PRCP,3,,,N,0700
US1CAHM0005,20081020,PRCP,3,,,N,0700
US1CAHM0005,20081021,PRCP,0,,,N,0700
US1CAHM0005,20081022,PRCP,0,,,N,0700
US1CAHM0005,20081023,PRCP,0,,,N,0700
US1CAHM0005,20081024,PRCP,0,,,N,0700
US1CAHM0005,20081025,PRCP,0,,,N,0700
US1CAHM0005,20081026,PRCP,0,,,N,0700
US1CAHM0005,20081027,PRCP,0,,,N,0700
US1CAHM0005,20081028,PRCP,0,T,,N,0640
US1CAHM0005,20081029,PRCP,0,,,N,0700
US1CAHM0005,20081030,PRCP,0,,,N,0700
US1CAHM0005,20081031,PRCP,10,,,N,0640
US1CAHM0005,20081001,SNOW,0,,,N,0700
US1CAHM0005,20081008,SNOW,0,,,N,0700
US1CAHM0005,20081009,SNOW,0,,,N,0700
US1CAHM0005,20081010,SNOW,0,,,N,0700
US1CAHM0005,20081011,SNOW,0,,,N,0700
US1CAHM0005,20081012,SNOW,0,,,N,0700
US1CAHM0005,20081013,SNOW,0,,,N,0700
US1CAHM0005,20081014,SNOW,0,,,N,0700
US1CAHM0005,20081015,SNOW,0,,,N,0700
US1CAHM0005,20081016,SNOW,0,,,N,0700
US1CAHM0005,20081017,SNOW,0,,,N,0700
US1CAHM0005,20081018,SNOW,0,,,N,0700
US1CAHM0005,20081019,SNOW,0,,,N,0700
US1CAHM0005,20081020,SNOW,0,,,N,0700
US1CAHM0005,20081021,SNOW,0,,,N,0700
US1CAHM0005,20081022,SNOW,0,,,N,0700
US1CAHM0005,20081023,SNOW,0,,,N,0700
US1CAHM0005,20081024,SNOW,0,,,N,0700
US1CAHM0005,20081025,SNOW,0,,,N,0700
US1CAHM0005,20081026,SNOW,0,,,N,0700
US1CAHM0005,20081027,SNOW,0,,,N,0700
US1CAHM0005,20081028,SNOW,0,,,N,0640
US1CAHM0005,20081029,SNOW,0,,,N,0700
US1CAHM0005,20081030,SNOW,0,,,N,0700
US1CAHM0005,20081031,SNOW,0,,,N,0640
US1CAHM0005,20081101,PRCP,71,,,N,0640
US1CAHM0005,20081102,PRCP,340,,,N,0700
US1CAHM0005,20081103,PRCP,36,,,N,0642
US1CAHM0005,20081104,PRCP,142,,,N,0644
