incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_acres_burned,incident_longitude,incident_latitude,incident_extinguished_year,incident_extinguished_month,incident_extinguished_day,incident_extinguished_hour,incident_extinguished_minute
Munjar Fire,2015,10,02,14,38,104,-121.8938,39.8707,2015,10,02,17,50
Cienega Fire,2015,10,12,16,00,690,-121.32734,36.70854,2015,10,16,18,00
Gibraltar Fire,2015,10,29,05,30,21,-119.63216,34.4828,2015,11,09,12,00
Potrero Fire,2015,11,07,01,45,50,-118.879444,34.15,2015,11,07,16,45
Solimar Fire,2015,12,25,22,42,1388,-119.34512,34.31953,2015,12,29,10,00
Gorman Fire,2016,04,19,13,09,0,-118.7892593,34.6888731,2016,04,19,15,30
Taglio Fire,2016,04,24,11,10,30,-121.08036,37.2171,2016,04,24,15,30
Shedd Fire,2016,05,10,16,11,150,-120.39993,35.61961,2016,05,10,18,45
Bryson Fire,2016,05,12,14,13,25,-121.0381507,35.8378273,2016,05,12,20,45
Avocado Fire,2016,05,15,16,38,132,-119.38248,36.78769,2016,05,17,19,10
Athens Fire,2016,05,17,15,06,169,-121.3090268,38.8390117,2016,05,19,18,00
Metz Fire,2016,05,22,15,27,3876,-121.20059,36.38123,2016,05,25,18,15
Wheatland Fire,2016,05,23,14,15,156,-118.354,34.276,2016,05,25,18,45
DeWolf Fire,2016,05,25,01,03,278,-119.654,36.88286,2016,05,25,08,00
Dunstone Fire,2016,05,27,13,43,91,-121.78973,39.33035,2016,05,27,17,00
70 Fire,2016,05,29,16,51,30,-121.595093,39.624017,2016,05,29,19,53
Tulloch Fire,2016,05,30,15,10,85,-120.528836,37.927613,2016,06,01,19,45
Pala Fire,2016,05,31,13,48,70,-117.08829,33.41639,2016,06,07,06,45
Chimney Fire,2016,06,01,15,35,0,-118.08591,35.84883,2016,06,19,18,00
Aukum Fire,2016,06,03,12,41,25,-120.6955,38.64107,2016,06,04,15,30
Clay Fire,2016,06,03,16,57,32,-121.06452,38.3131,2016,06,03,19,55
Hidden Fire,2016,06,03,17,39,30,-121.40304,36.80296,2016,06,03,17,30
Temecula Fire,2016,06,04,11,40,139,-117.140883,33.476894,2016,06,07,18,15
Coleman Fire,2016,06,04,14,33,2520,-121.25029,36.01542,2016,06,20,08,30
Soda Fire,2016,06,04,17,46,0,-119.58206,35.01382,2016,06,19,08,30
Pony Fire,2016,06,07,02,45,2860,-123.557,41.623,2016,11,08,10,15
Coe Fire,2016,06,07,16,30,120,-121.42238,37.17072,2016,06,09,17,10
Hoag Fire,2016,06,11,14,30,80,-121.857,39.7947,2016,06,11,16,15
Cotton Fire,2016,06,11,15,04,61,-120.251,35.77135,2016,06,12,12,30
Keswick Fire,2016,06,11,16,02,24,-122.46777,40.61388,2016,06,12,15,00
Old Fire,2016,06,12,12,45,83,-121.04993,36.49914,2016,06,12,15,45
Sherpa Fire,2016,06,15,15,21,7474,-119.643,34.776,2016,07,12,14,30
Camanche Fire,2016,06,17,14,54,210,-120.90265,38.26874,2016,06,21,18,30
Arroyo Fire,2016,06,18,16,47,70,-121.3306,36.2833,2016,06,20,18,15
Border Fire,2016,06,19,11,03,7609,-116.63028,32.60729,2016,06,30,18,30
Coal Fire,2016,06,20,16,38,112,-121.6008,39.595,2016,06,20,19,50
Paskenta Fire,2016,06,21,10,26,43,-122.40142,39.93965,2016,06,21,13,00
Moore Fire,2016,06,21,12,24,88,-121.37704,38.86804,2016,06,21,15,45
70 Fire,2016,06,21,15,09,49,-121.6051,39.43351,2016,06,21,16,30
Erskine Fire,2016,06,23,15,51,48019,-118.45628,35.6115,2016,07,11,09,40
Lowe Fire,2016,06,23,17,57,52,-120.9293,36.1934,2016,06,24,18,20
Marina Fire,2016,06,25,06,30,650,-119.14,37.97,2016,07,09,08,30
Grant Fire,2016,06,25,16,11,211,-121.58677,37.74369,2016,06,26,07,00
Dinosaur Fire,2016,06,25,23,45,1246,-121.20155,37.07147,2016,06,26,18,50
Laguna Fire,2016,06,26,13,10,47,-117.77395,33.57872,2016,06,29,18,30
Creek Fire,2016,06,26,15,45,277,-122.15457,38.69971,2016,06,27,06,15
Reservoir Fire,2016,06,26,16,00,215,-122.50373,39.12366,2016,06,28,20,00
Frazier Fire,2016,06,27,12,07,86,-120.82266,35.70821,2016,06,29,17,00
Campo Fire,2016,06,27,18,00,33,-120.8678,38.22017,2016,06,30,07,00
Trailhead Fire,2016,06,28,13,55,5645,-120.9375,38.96741,2016,07,18,09,50
Rancho Fire,2016,06,28,19,02,372,-121.003611,38.385,2016,06,29,07,30
Colyear Fire,2016,06,30,13,32,464,-122.56939,40.0353,2016,07,04,07,45
Pine Fire,2016,06,30,16,55,2304,-119.144,34.701,2016,06,30,16,55
Lone Pine Fire,2016,07,01,12,56,30,-118.15589,36.58972,2016,07,02,20,00
Flores Fire,2016,07,01,13,54,88,-122.2071,40.07846,2016,07,01,17,45
Kuehner Fire,2016,07,01,14,00,45,-118.63264,34.27619,2016,07,01,19,50
Deer Fire,2016,07,01,14,05,1785,-118.72272,35.20993,2016,07,08,19,00
Curry Fire,2016,07,01,17,16,2944,-120.452041,36.0749,2016,07,05,07,05
Appaloosa Fire,2016,07,02,14,55,310,-120.61153,38.02845,2016,07,08,19,32
Broken Fire,2016,07,04,11,53,103,-119.65776,37.25601,2016,07,06,20,00
Frame Fire,2016,07,04,17,15,145,-120.62048,36.14161,2016,07,07,19,00
Fort Fire,2016,07,08,11,15,554,118.9082,34.913,2016,07,10,19,37
Fiddler Fire,2016,07,08,22,45,303,-122.72913,40.36873,2016,07,12,07,00
Sage Fire,2016,07,09,12,04,1100,-118.57245,34.36763,2016,07,16,12,00
Mercury Fire,2016,07,09,12,43,95,-120.841536,5487,2016,07,10,19,30
Scott Fire,2016,07,10,15,30,87,-121.103642,38.517772,2016,07,11,06,35
Shelter Fire,2016,07,11,12,58,15,-116.58542,33.11645,2016,07,12,10,30
Big Fire,2016,07,11,14,30,188,-119.39619,36.92244,2016,07,13,17,30
Pacheco Fire,2016,07,12,13,14,341,-120.81394,38.08056,2016,07,16,18,30
Stagecoach Fire,2016,07,12,15,19,35,-120.67335,37.96311,2016,07,13,19,00
Sherwood Fire,2016,07,13,15,52,78,-119.39619,36.92244,2016,07,15,14,00
Onyx Fire,2016,07,13,17,08,221,-118.21793,35.68313,2016,07,14,12,00
Dunnigan Fire,2016,07,15,14,00,84,-122.04726,38.8866,2016,07,15,15,40
Green Fire,2016,07,15,16,45,123,-119.5792,37.0099,2016,07,16,18,00
Famoso Fire,2016,07,15,23,55,138,-118.94811,35.60748,2016,07,16,07,40
Feather Fire,2016,07,18,13,08,100,-116.7945,32.9612,2016,07,20,13,45
Bailey Fire,2016,07,19,14,09,26,-122.59328,41.96191,2016,07,20,09,00
Foothill Fire,2016,07,19,17,16,69,-122.7891,39.0863,2016,07,22,18,15
Baker Fire,2016,07,21,15,06,57,-120.64241,37.98171,2016,07,22,19,00
Roblar Fire,2016,07,21,16,06,1245,-117.35093,33.393,2016,07,30,14,15
Table Fire,2016,07,21,20,30,23,-122.36924,41.71847,2016,07,22,12,00
Soberanes Fire,2016,07,22,08,48,132127,-121.89938,36.45994,2016,10,13,11,30
Oak Fire,2016,07,22,13,01,57,-122.02564,38.33475,2016,07,22,16,07
Storksbill Fire,2016,07,22,13,15,50,-121.00299,38.79549,2016,07,23,18,00
Rock Fire,2016,07,22,14,47,28,-116.9571,33.00056,2016,07,24,14,30
Bradley Fire,2016,07,22,15,15,100,-120.81081,35.85093,2016,07,23,08,45
Franklin Fire,2016,07,24,16,30,40,-122.1885,38.01264,2016,07,24,19,00
Fork Fire,2016,07,29,17,55,38,-119.4741,37.24006,2016,07,31,18,55
Goose Fire,2016,07,30,16,40,2241,-119.50507,37.01591,2016,08,09,18,30
Frymire Fire,2016,07,30,17,25,32,-120.69521,37.81434,2016,08,01,08,05
Sierra Fire,2016,07,30,17,25,114,-121.79669,37.41896,2016,07,31,18,30
99 Fire,2016,08,02,14,35,520,-121.7192,39.6708,2016,08,03,08,00
Cold Fire,2016,08,02,16,36,5731,-122.06788,38.52513,2016,08,12,15,00
Baker Fire,2016,08,03,17,27,80,-122.26736,40.19611,2016,08,04,07,50
Grub Fire,2016,08,04,14,13,85,-119.7738,37.3228,2016,08,06,19,50
Hart Fire,2016,08,04,17,10,100,-118.60344,35.24504,2016,08,07,20,15
Deer Fire,2016,08,05,13,49,26,-120.8657,38.2581,2016,08,06,10,06
Pilot Fire,2016,08,07,12,18,8110,-117.27338,34.28771,2016,08,16,08,00
Mineral Fire,2016,08,08,13,08,7050,-120.51057,36.09974,2016,08,18,19,00
Mountain Fire,2016,08,09,12,14,35,-122.47091,40.61213,2016,08,10,17,00
Kugelman Fire,2016,08,09,17,30,45,-120.51057,36.09974,2016,08,10,17,00
Knoxville Fire,2016,08,09,18,50,36,-122.26015,38.68403,2016,08,10,17,00
Gopher Fire,2016,08,10,09,14,35,-117.14547,33.22558,2016,08,11,18,30
Stafford Fire,2016,08,11,14,57,23,-124.05804,40.4572,2016,08,16,08,45
Oak Fire,2016,08,12,16,00,25,-121.68577,37.06531,2016,08,14,19,50
Summit Fire,2016,08,12,17,23,21,-123.77832,40.9878,2016,08,19,08,30
Chimney Fire,2016,08,13,16,03,46235,-120.98316,35.70595,2016,09,06,07,30
Clayton Fire,2016,08,13,18,03,3929,-122.60664,38.89741,2016,08,26,18,00
Blue Cut Fire,2016,08,16,10,44,36274,-117.49342,34.30372,2016,08,23,07,45
Cedar Fire,2016,08,16,16,35,29322,-118.5678,35.7506,2016,10,01,06,00
Mokelumne Fire,2016,08,18,12,05,0,-120.00606,38.57554,2016,08,30,12,05
Beale Fire,2016,08,18,15,35,389,-121.38775,36.16965,2016,08,18,21,30
Bird Fire,2016,08,20,08,35,147,-121.36665,37.62215,2016,08,20,18,45
Tully Fire,2016,08,22,16,03,599,-123.82268,41.28486,2016,09,04,06,55
Tule Fire,2016,08,22,22,00,395,-118.73906,36.1648,2016,11,08,10,15
Grade Fire,2016,08,24,14,55,710,-122.611,41.7813,2016,08,30,06,45
Range Fire,2016,08,26,10,10,600,-118.7212,35.2013,2016,08,29,10,30
Santos Fire,2016,08,26,15,30,88,-121.71662,39.79547,2016,08,30,18,40
Gap Fire,2016,08,27,18,00,33867,-123.118,41.851,2016,08,28,18,15
Willow Fire,2016,08,28,13,07,450,-120.6381,38.1874,2016,08,31,18,50
Havilah Fire,2016,08,28,18,50,304,-118.5097,35.4976,2016,08,28,18,50
Mina Fire,2016,08,30,13,35,36,-123.4267011,39.8748511,2016,08,31,07,15
Mockingbird Fire,2016,08,30,16,54,20,-122.9148951,39.1408865,2016,08,31,07,05
Holy Fire,2016,08,31,04,10,150,-117.5221,33.6542,2016,09,05,06,55
Oak Fire,2016,09,01,14,36,25,-121.69784,37.11831,2016,09,02,06,55
Sunny Fire,2016,09,03,14,44,158,-119.34487,36.84479,2016,09,06,18,15
Ken Fire,2016,09,03,21,51,20,-117.4415,34.25858,2016,09,04,18,55
Saddle Fire,2016,09,05,16,28,800,-121.571,39.6871,2016,09,12,14,51
Phoenix Fire,2016,09,07,15,09,38,-120.51887,39.39051,2016,09,08,09,52
Spring Fire,2016,09,07,16,53,50,-117.3189,34.3183,2016,09,09,06,00
Ruff Fire ,2016,09,10,14,06,50,-123.5044,39.7299,2016,09,15,09,10
Lake Fire,2016,09,10,15,45,75,-122.4096,40.68192,2016,09,12,19,00
Boys Fire,2016,09,11,11,25,40,-121.1309,38.558,2016,09,12,19,00
Willard Fire,2016,09,11,11,33,2575,-120.7845,40.3915,2016,09,22,07,00
Howard Fire,2016,09,11,14,15,380,-120.9066,41.4657,2016,09,14,18,00
Moffett Fire,2016,09,12,16,28,32,-122.7933,41.6314,2016,09,13,18,30
Old Fire,2016,09,13,13,55,150,-120.029626,37.75972,2016,09,17,18,00
Hog Fire,2016,09,13,23,10,321,-122.1295,40.30594,2016,09,13,14,30
Old Fire,2016,09,16,23,28,30,-121.6998,39.8851,2016,09,19,18,30
Auburn Fire,2016,09,17,13,40,47,-121.05948,39.20427,2016,09,20,18,00
Owens River Fire,2016,09,17,13,49,5443,-118.95309,37.75985,2016,09,18,08,10
Soup Complex,2016,09,17,14,37,2652,-120.3178,41.2649,2016,10,13,11,30
Canyon Fire,2016,09,17,17,20,12518,-120.54421,34.63445,2016,09,27,14,00
Butte Fire,2016,09,20,09,30,300,-121.78003,39.188321,2016,09,20,18,00
Bangor Fire,2016,09,22,11,45,130,-121.42647,39.4403,2016,09,23,10,30
Washington Fire,2016,09,22,14,20,215,-120.55297,34.75134,2016,09,27,14,00
Newmark Fire,2016,09,23,12,40,70,-119.5327,36.6543,2016,09,24,20,00
Bell Fire,2016,09,23,13,12,45,-120.8416,38.5212,2016,09,25,17,45
Cow Fire,2016,09,25,07,15,100,-121.93923,40,2016,09,25,13,15
Sawmill Fire,2016,09,25,10,43,1547,-122.82895,38.80017,2016,09,29,17,00
Marshes Fire,2016,09,26,12,20,1080,-120.32484,37.79635,2016,10,04,22,00
Tobin Fire,2016,09,26,13,23,248,-121.32,39.92,2016,10,06,17,15
Loma Fire,2016,09,26,14,42,4474,-121.85318,37.10632,2017,09,19,10,30
Creek Fire,2016,10,10,16,13,65,-122.43172,38.40958,2016,10,12,18,00
Sacata Fire,2016,10,11,12,58,2100,-119.25959,36.94536,2016,10,20,07,00
Emerald Fire,2016,10,14,01,28,176,-120.10744,38.93449,2016,10,17,11,45
Jacobson Fire,2016,10,20,17,00,10,-118.551,36.217,2016,12,19,13,30
Meadow Fire,2016,10,29,11,15,4347,-118.551,35.984,2016,12,19,13,30
Gopher Fire,2016,11,13,11,14,28,-117.158475,33.254355,2016,11,14,18,00
Marek Fire,2016,11,14,05,45,4824,-118.335,34.31,2016,11,14,14,00
Oroville Spillway ,2017,02,07,14,00,0,-121.55633,39.51158,2018,01,09,09,24
Grace Fire,2017,04,03,16,00,45,-121.85645,40.48712,2018,01,09,09,41
West Fire,2017,04,03,16,00,380,-120.58342,41.16716,2018,01,09,09,40
66 Fire,2017,04,13,02,30,15,-116.08003,33.56777,2018,01,09,09,50
Jayne Fire,2017,04,20,15,40,4532,-120.26561,36.07228,2018,01,09,09,51
Soledad Fire,2017,04,24,12,06,10,-121.34695,36.44141,2018,01,09,09,51
El Dorado Fire,2017,04,28,15,40,750,-120.206592,36.530836,2018,01,09,09,52
Tumey Fire,2017,04,29,17,15,126,-120.6585,36.5355,2018,01,09,09,52
Opera Fire,2017,04,30,15,23,1350,-117.30693,34.00566,2018,01,09,09,53
Tower Fire,2017,04,30,16,03,150,-117.45646,34.30104,2018,01,09,09,53
Jameson Fire,2017,04,30,19,43,12,-117.5048,33.7866,2018,01,09,09,54
Fay Fire,2017,05,01,12,44,19,-118.30601,35.71704,2018,01,09,09,54
Olive Fire,2017,05,02,14,32,130,-120.22647,35.78286,2018,01,09,09,54
Shandon Fire,2017,05,07,16,41,12,-120.3317,35.6879,2018,01,09,09,55
Sonoma Fire,2017,05,10,15,27,400,-120.2445,36.45491,2018,01,09,09,55
Hub Fire,2017,05,12,05,05,31,-118.4683,35.60001,2018,01,09,09,55
Wright Fire,2017,05,12,15,30,1733,-120.89261,36.96655,2018,01,09,09,56
Nacimiento Fire,2017,05,14,12,00,20,-120.92482,35.77082,2018,01,09,09,56
Canyon Fire,2017,05,14,12,51,17,-116.99229,33.88466,2018,01,09,09,56
Feed Fire,2017,05,14,14,00,41,-118.90004,35.05076,2018,01,09,09,57
Arrow Fire,2017,05,15,13,58,225,-119.87525,35.21177,2018,01,09,09,57
Bravo Fire,2017,05,15,14,05,288,-118.84466,35.41283,2018,01,09,09,58
Pine Fire,2017,05,16,16,10,18,-120.86682,36.1727,2018,01,09,09,58
Lonoak Fire,2017,05,17,15,18,17,-120.94328,36.2771,2018,01,09,09,59
41 Fire,2017,05,17,15,30,150,-119.79315,36.90967,2018,01,09,10,01
Camp Fire,2017,05,18,08,48,225,-120.76464,35.34541,2018,01,09,10,03
City Fire,2017,05,18,12,54,20,-119.91508,35.983,2018,01,09,10,04
Elm Fire,2017,05,18,13,11,10000,-120.37116,36.12089,2018,01,09,10,04
Moraga Fire,2017,05,18,17,25,14,-117.44148,33.97155,2018,01,09,10,05
Range Fire,2017,05,19,13,10,0,-120.80411,35.85253,2018,01,09,10,05
Deluz Fire,2017,05,19,14,45,486,-117.32348,33.3906,2018,01,09,10,06
Manning Fire,2017,05,19,23,28,70,-120.5828,36.60736,2018,01,09,10,05
Rocky Fire,2017,05,20,13,11,17,-120.474,35.556667,2018,01,09,10,06
Ming Fire,2017,05,20,14,23,506,-118.85896,35.4605,2018,01,09,10,07
Wasioja Fire,2017,05,20,17,54,190,-119.8036,34.9465,2018,01,09,10,07
Gate Fire,2017,05,20,23,19,2056,-116.80527,32.65597,2018,01,09,10,06
Smiley Fire,2017,05,21,16,12,35,-117.20507,33.96419,2018,01,09,10,07
Bitterwater Fire,2017,05,22,04,50,21,-120.99552,36.35578,2018,01,09,10,07
Moreno Fire,2017,05,23,13,13,10,-117.17773,33.94673,2018,01,09,10,08
Ribbonwood Fire,2017,05,24,15,30,25,-116.29296,32.679,2018,01,09,10,10
Lamb Fire,2017,05,25,14,48,120,-116.99651,33.88287,2018,01,09,10,16
Range Fire,2017,05,25,18,15,1000,-117.39818,33.34988,2018,01,09,10,17
Rusty Fire,2017,05,28,07,49,16,-119.58292,36.96642,2018,01,09,10,17
Champagne Fire,2017,05,28,10,59,10,-118.35296,34.87128,2018,01,09,10,17
Serenas Fire,2017,05,28,15,27,48,-116.07429,33.58577,2018,01,09,10,21
Lombardi Fire,2017,05,28,15,30,15,-120.83484,38.19906,2018,01,09,10,21
Panoche Fire,2017,05,28,16,16,18,-120.7109,36.61332,2018,01,09,10,21
Matz Fire,2017,05,29,01,20,16,-116.55326,34.04412,2018,01,09,10,22
Twenty Fire,2017,05,29,15,31,10,-121.376,39.23205,2018,01,09,10,22
Fountain Fire ,2017,05,31,11,30,79,-119.00334,35.89423,2018,01,09,10,23
Clay Fire,2017,06,01,15,38,68,-121.11113,38.33707,2018,01,09,10,22
Fairview Fire,2017,06,01,16,12,26,-116.59719,33.94788,2018,01,09,10,23
Elk Fire,2017,06,02,18,55,16,-119.2877,35.188,2018,01,09,10,23
Vernon Fire,2017,06,03,12,09,27,-116.96079,33.82165,2018,01,09,10,24
Jones Fire,2017,06,03,13,09,42,-120.53443,41.38247,2018,01,09,10,24
5 Fire,2017,06,03,15,39,25,-118.37539,34.29931,2018,01,09,10,24
River Fire,2017,06,04,16,12,67,-120.1064,40.03392,2018,01,09,10,26
Spring Fire ,2017,06,04,16,22,78,-122.13088,40.38944,2018,01,09,10,25
Shirleon Fire ,2017,06,04,16,48,10,-116.88097,33.87107,2018,01,09,10,26
Creek Fire ,2017,06,04,22,11,33,-118.4642,35.60633,2018,01,09,10,24
Fish Fire,2017,06,05,13,17,20,-122.2102,37.86549,2018,01,09,10,26
Pine Fire,2017,06,05,14,02,10,-118.796513,35.564124,2018,01,09,10,27
Wilbur Fire,2017,06,06,12,43,91,-121.64897,39.52499,2018,01,09,10,27
Whitepine Fire,2017,06,06,16,38,46,-122.4571,41.8721,2018,01,09,10,27
Dinely Fire,2017,06,07,11,55,339,-118.87676,36.45809,2018,01,09,10,28
26 Fire,2017,06,07,21,00,157,-120.0193,37.12759,2018,01,09,10,28
Breckenridge Fire,2017,06,09,04,53,35,-118.84134,35.37351,2018,01,09,10,29
Island Fire,2017,06,09,13,00,0,-114.578415,32.779139,2018,01,09,10,29
Hog Fire,2017,06,09,16,15,14,-120.52508,35.80375,2018,01,09,10,29
Bodfish Fire,2017,06,10,12,17,206,-118.47939,35.59804,2018,01,09,10,29
Oakwood Fire,2017,06,10,13,19,1417,-119.8011,37.0825,2018,01,09,10,30
Wild Fire,2017,06,11,10,46,186,-120.405077,36.704679,2018,01,09,10,30
Monterey Fire,2017,06,11,17,15,450,-120.369347,36.616986,2018,01,09,10,30
Pleyto Fire,2017,06,11,18,12,32,-120.983684,35.902149,2018,01,09,10,30
Red Fire,2017,06,11,18,49,38,-120.45268,37.85137,2018,01,09,10,31
Tivy Fire,2017,06,11,22,45,76,-119.35901,36.8005,2018,01,09,10,31
Refuge Fire,2017,06,13,10,18,22,-122.2654,38.68347,2018,01,09,10,31
Valley Fire,2017,06,13,12,00,33,-116.972036,33.584036,2018,01,09,10,32
Douglas Fire,2017,06,13,14,31,50,-117.29509,33.23281,2018,01,09,10,32
King Fire,2017,06,13,17,00,135,-118.74542,35.8556,2018,01,09,10,32
Reed Fire,2017,06,13,17,21,20,-116.85226,33.52584,2018,01,09,10,32
Lucy Fire,2017,06,14,11,44,150,-120.3187,35.6871,2018,01,09,10,33
Westfall Fire,2017,06,15,07,30,63,-120.0088,37.36914,2018,01,09,10,33
Canyon Fire,2017,06,15,11,36,105,-116.884446,33.950382,2018,01,09,10,33
Nuevo Fire,2017,06,15,15,51,28,-117.11659,33.79925,2018,01,09,10,33
Skyway Fire,2017,06,16,09,27,134,-121.75417,39.69717,2018,01,09,10,34
Springs Fire,2017,06,16,14,51,10,33.939428,117.138741,2018,01,09,10,34
Shore Fire,2017,06,16,15,49,32,-120.93371,35.90092,2018,01,09,10,34
Lake Fire,2017,06,17,13,55,850,-118.60703,34.55607,2018,01,09,10,34
Bolla Fire,2017,06,18,07,15,60,-122.83208,40.32063,2018,01,09,10,35
Lambs Fire,2017,06,18,12,28,10,-116.9669,33.90965,2018,01,09,10,35
Road Fire,2017,06,18,14,04,25,-119.95136,37.02081,2018,01,09,10,35
Highway Fire,2017,06,18,14,22,1522,-118.66733,35.53456,2018,01,09,10,41
Smiley Fire,2017,06,18,15,10,153,-117.21314,33.98639,2018,01,09,10,46
Bogus Fire,2017,06,18,15,45,56,-122.36545,41.93006,2018,01,09,10,59
Trellis Fire,2017,06,18,16,03,26,-117.31924,33.71025,2018,01,09,10,59
Holcomb Fire,2017,06,19,15,05,1503,-116.826,34.2976,2018,01,09,11,00
Evans Fire,2017,06,19,21,41,168,-120.02325,39.71101,2018,01,09,11,00
Orange Fire,2017,06,21,14,45,65,-120.68992,37.82934,2018,01,09,10,59
Quimby Fire,2017,06,21,18,02,54,-121.76323,37.33454,2018,01,09,11,00
Highway Fire,2017,06,22,09,49,21,-121.4143,39.364,2018,01,09,11,00
Lone Fire,2017,06,22,11,10,111,-121.5786,39.38416,2018,01,09,11,01
Toll Fire,2017,06,22,13,08,39,-122.23004,38.07481,2018,01,09,11,01
Creek Fire,2017,06,23,16,00,357,-120.65185,36.27306,2018,01,09,11,01
King Incident,2017,06,23,22,32,0,-119.50606,36.51912,2018,01,09,11,01
Paskenta Fire,2017,06,24,11,15,42,-122.27379,40.10282,2018,01,09,11,07
Black Fire,2017,06,25,12,09,36,-116.77342,33.1683,2018,01,09,11,07
Placerita Fire,2017,06,25,12,47,760,-118.49343,34.37443,2018,01,09,11,08
Salmon-August Complex ,2017,06,25,17,00,0,-123.474,41.841,2018,01,09,11,07
King Fire,2017,06,26,12,30,19,-122.645079,40.703775,2018,01,09,11,08
Manzanita Fire,2017,06,26,15,10,6309,-116.594422,33.530045,2018,01,09,11,08
Hill Fire,2017,06,26,15,27,1626,-120.4992,35.4025,2018,01,09,11,08
Shore Fire,2017,06,26,21,30,28,-124.19629,41.93323,2018,01,09,11,08
Latrobe Fire,2017,06,27,07,39,35,-120.92162,38.45822,2018,01,09,11,09
Sloane Fire,2017,06,27,09,38,25,-116.8516,32.7789,2018,01,09,11,09
Pine Fire,2017,06,27,10,39,38,-122.65749,37.9775,2018,01,09,11,09
Mart Fire,2017,06,27,15,22,670,-117.17813,34.14575,2018,01,09,11,09
Alvarado Fire,2017,06,28,09,30,15,-120.87492,35.947,2018,01,09,11,10
Battle Fire,2017,06,28,13,50,562,-121.29581,41.85763,2018,01,09,11,10
Ben Fire,2017,06,28,15,49,558,-119.9646,37.3762,2018,01,09,11,10
 Cristianitos Fire,2017,06,28,17,56,0,-117.58252,33.43513,2018,01,09,11,10
Ranch Fire,2017,06,29,13,56,85,-121.71752,37.3344,2018,01,09,11,11
Topanga Fire,2017,06,29,15,09,55,-118.58624,34.03941,2018,01,09,11,11
Stokes Fire,2017,06,29,15,45,41,-118.70294,34.10446,2018,01,09,11,11
Lockwood Fire,2017,06,29,20,44,42,-121.08753,35.96275,2018,01,09,11,11
Tarina Fire ,2017,06,30,13,49,1200,-118.80123,35.38298,2018,01,09,11,16
Oak Fire,2017,07,01,00,48,128,-122.0122,40.69554,2018,01,09,11,16
Brewer Fire,2017,07,02,12,41,10,-121.06656,39.08382,2018,01,09,11,16
Lisa Fire,2017,07,02,13,04,11,-117.096233,33.913089,2018,01,09,11,16
Spring Fire,2017,07,02,13,36,225,-119.921,37.4591,2018,01,09,11,17
Desabla Fire,2017,07,02,13,43,14,-121.6268,39.8629,2018,01,09,11,17
Derrick Fire,2017,07,02,22,28,1562,-120.620791,36.269125,2018,01,09,11,41
Canyon Fire,2017,07,03,13,34,10,-116.99321,33.91806,2018,01,09,11,41
Lago Fire,2017,07,03,15,14,50,-117.16215,33.87739,2018,01,09,11,41
Timber Fire,2017,07,03,19,31,30,-117.25411,33.96896,2018,01,09,11,42
Silver Fire,2017,07,04,13,15,13,-117.3125,34.304722,2018,01,09,11,42
Valley Fire,2017,07,04,13,21,34,-121.30983,36.85596,2018,01,09,11,42
Freedom Fire,2017,07,04,13,21,57,-119.51592,36.81476,2018,01,09,11,43
Grade Fire,2017,07,04,14,45,50,-118.98603,34.20599,2018,01,09,11,43
Jurupa Fire,2017,07,04,15,20,35,-117.48405,33.99316,2018,01,09,11,43
Klamath Fire,2017,07,04,15,21,0,-122.73031,41.86609,2018,01,09,11,43
Lakeland Fire,2017,07,04,15,45,18,-121.54722,39.53944,2018,01,09,11,43
Eagle Fire,2017,07,04,16,55,205,-117.48195,33.85323,2018,01,09,11,44
Globe Fire,2017,07,05,08,24,21,-118.81979,36.10858,2018,01,09,11,44
Fay Fire,2017,07,05,11,05,496,-122.8428,41.3975,2018,01,09,11,44
Auberry Fire,2017,07,05,15,40,91,-119.65621,36.95104,2018,01,09,11,45
Gold Fire,2017,07,05,16,56,22,-120.67848,38.20176,2018,01,09,11,44
Quail Fire,2017,07,06,12,29,1626,-119.08312,35.59904,2018,01,09,11,45
Winters Fire,2017,07,06,12,41,1700,-122.0251,38.49521,2018,01,09,11,45
Antelope Fire,2017,07,06,13,00,0,-120.9643,40.6361,2018,01,09,11,45
Alamo Fire,2017,07,06,15,44,28687,-120.3223,35.0179,2018,01,09,11,46
Hawk Fire,2017,07,07,09,18,2940,-118.89627,35.77896,2018,01,09,11,46
Daulton Fire,2017,07,07,10,00,90,-120.02027,37.09773,2018,01,09,11,46
Christmas Fire,2017,07,07,12,56,33,-117.314994,33.763304,2018,01,09,11,46
Wall Fire,2017,07,07,14,52,6033,-121.41222,39.45352,2018,01,09,11,47
Bryant Fire,2017,07,07,15,45,74,-117.06765,34.07612,2018,01,09,11,47
Banderilla Fire,2017,07,07,15,50,36,-120.34802,37.65963,2018,01,09,11,48
Tower Fire,2017,07,07,16,23,58,-120.62825,35.346,2018,01,09,11,48
Deer Complex,2017,07,08,02,20,231,-121.78677,37.87808,2018,01,09,11,48
Lake Fire,2017,07,08,11,00,62,-120.4925,37.64898,2018,01,09,11,48
Whittier Fire,2017,07,08,13,43,18430,-119.9494,34.55096,2018,01,09,11,49
Willow Fire,2017,07,08,15,26,370,-122.25544,38.02929,2018,01,09,11,48
Axel Fire,2017,07,08,16,38,74,-120.97111,38.7803,2018,01,09,11,50
West Fire,2017,07,08,16,47,50,-121.303,39.06308,2018,01,09,11,50
